WW,RE,HH,MU,YQ,DG,TV,YP,QZ,IB,IM,EY,QS,UN,NX,OF,FR,OG,MY,EV,YR,TU,UO,WF,JP,XQ,ME,CA,YH,WN,ZL,ND,GC,GS,BQ,ZX,VU,CZ,BX,RZ,UC,DW,FZ,KE,SD,US,UQ,JI,PM,XT
1,2,2,3,1,3,2,1,2,2,3,2,3,2,3,2,1,3,1,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,1,3,2,2,1,4,3
2,1,2,2,2,1,2,3,3,2,2,2,1,2,3,2,3,1,2,2,2,1,2,2,1,2,4,2,1,1,1,1,1,1,3,2,2,2,1,3,1,1,3,1,1,3,4,2,1,3
1,1,2,1,2,3,4,3,3,2,3,2,1,1,3,2,1,1,2,2,3,2,1,2,1,2,4,2,1,1,2,2,1,1,2,1,2,3,2,2,1,2,2,3,2,1,1,2,3,2
1,3,2,2,2,3,4,1,3,1,2,2,4,2,3,2,1,4,2,3,2,1,1,2,2,2,4,1,2,2,1,1,1,1,3,1,1,3,1,3,1,2,3,3,3,2,1,1,4,1
1,1,2,3,1,3,2,2,3,1,3,1,1,1,2,2,1,3,2,1,3,3,2,2,1,2,4,2,1,1,2,2,2,1,4,2,1,2,2,1,2,1,2,1,2,4,3,2,3,2
2,3,2,1,2,3,2,1,1,2,2,1,4,2,3,2,1,2,1,3,3,2,2,2,1,2,4,1,1,2,1,2,1,1,4,1,1,3,1,3,2,2,3,3,3,4,4,1,1,3
2,2,2,2,1,3,2,3,1,3,1,1,1,1,3,2,1,4,2,2,3,3,1,1,2,1,1,2,1,1,4,1,3,2,3,1,2,1,2,3,1,2,3,3,1,1,4,2,4,2
2,2,3,3,1,1,2,2,3,3,3,2,1,1,2,2,1,2,2,2,2,3,2,1,2,1,4,2,2,1,3,2,3,1,2,1,2,2,1,3,1,2,1,1,1,4,3,2,2,2
2,3,3,1,2,1,1,2,1,1,2,1,1,2,2,2,3,1,1,4,3,3,2,2,2,2,4,2,2,1,1,2,1,2,1,2,2,3,2,2,2,2,3,3,2,2,3,1,4,3
2,3,2,1,2,1,1,1,4,3,2,1,4,2,3,1,3,1,1,2,2,1,2,1,2,2,3,1,1,2,1,1,3,2,1,1,2,3,2,3,1,2,2,3,3,1,1,1,3,2
1,2,3,2,2,3,2,1,2,1,2,2,2,1,3,1,3,1,1,3,2,3,2,1,2,2,4,1,2,1,1,1,3,1,1,1,2,2,1,1,1,1,3,2,3,3,1,1,3,1
2,1,1,1,1,3,2,3,2,1,1,1,1,2,3,2,1,2,2,2,1,3,1,1,2,2,1,1,1,1,2,2,3,1,3,2,2,1,1,3,1,2,3,1,3,4,3,1,4,1
2,3,2,2,1,3,2,1,4,1,2,2,1,2,3,2,1,2,2,2,1,3,1,1,1,1,4,1,1,2,3,2,3,2,4,2,1,3,2,1,1,2,2,3,3,3,1,2,1,3
2,3,3,3,1,3,2,2,1,1,2,2,2,2,3,1,3,3,2,4,2,3,1,1,2,2,1,2,1,2,3,2,3,1,4,1,1,1,2,2,1,2,2,1,3,1,1,2,2,3
1,3,3,1,1,1,3,3,4,3,2,1,2,2,3,1,2,1,1,4,2,1,1,2,1,1,4,2,2,1,4,1,1,1,3,2,1,2,2,1,2,1,3,3,2,1,1,2,3,1
1,2,2,3,1,3,2,3,2,2,1,1,4,2,3,2,3,4,2,4,3,1,2,2,1,1,3,2,1,1,3,1,2,2,4,2,2,2,2,3,2,2,1,2,3,4,4,2,4,1
2,3,2,3,1,3,3,1,2,1,2,1,4,1,3,1,2,3,2,3,1,3,2,1,1,1,4,1,1,1,1,2,3,2,3,1,1,2,2,1,1,2,3,2,3,3,4,1,1,3
1,1,1,3,1,3,2,1,1,1,3,1,2,2,3,1,3,2,2,4,1,2,2,2,1,2,1,2,1,2,2,2,1,1,4,2,2,1,1,2,2,2,2,1,3,3,2,2,4,2
2,2,1,1,1,3,3,2,2,2,3,1,4,1,3,2,1,4,2,3,3,3,2,2,2,2,1,1,1,1,4,2,1,1,4,1,1,3,1,3,2,2,1,1,1,2,2,1,1,1
2,3,1,3,1,1,2,2,2,3,2,2,4,1,2,2,1,2,2,3,3,1,2,2,2,2,4,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,3,2,4,2,1,1
2,1,1,3,1,1,1,1,4,3,3,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,4,2,1,1,4,1,3,2,3,2,2,1,1,3,1,1,1,1,3,4,2,2,3,1
2,1,3,1,1,2,3,3,4,2,3,1,2,1,3,2,1,3,2,4,2,1,1,1,1,1,4,1,1,2,1,2,3,2,3,2,2,3,1,3,4,1,3,2,1,4,4,2,3,2
1,1,1,3,2,3,2,1,3,2,1,1,2,2,3,1,2,4,1,4,1,1,2,2,1,2,2,1,1,2,1,1,1,2,3,1,1,2,1,3,1,1,3,3,3,3,2,2,1,3
2,3,3,2,2,3,3,2,2,1,1,2,1,1,3,2,3,3,2,2,2,2,1,2,2,1,3,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,3,2,2,4,2,2,4,2
1,3,2,1,2,3,2,3,4,1,2,2,3,2,2,1,3,1,2,4,2,2,1,1,2,2,4,2,1,2,4,1,1,1,3,2,2,2,1,1,1,1,1,3,1,2,3,2,4,1
1,2,3,1,1,1,1,1,4,2,1,1,4,1,2,1,3,4,2,3,1,1,2,1,2,1,3,1,2,1,4,2,2,1,1,1,2,1,2,1,1,2,3,3,2,2,2,2,1,3
2,1,1,3,1,1,2,3,3,2,3,2,1,1,2,2,1,2,2,3,1,1,1,2,1,2,1,1,1,2,2,2,1,1,4,2,1,1,2,2,2,2,2,1,3,2,2,2,2,2
2,3,2,1,1,3,1,1,1,3,2,1,2,2,3,1,2,3,2,2,1,3,1,1,1,2,2,2,1,1,4,2,3,1,3,1,1,1,1,2,1,2,1,2,3,2,1,2,4,3
1,2,1,3,1,1,2,2,3,1,3,1,2,1,3,1,3,2,1,2,1,3,2,2,1,1,2,1,1,2,3,2,1,1,2,1,2,2,1,2,2,2,3,1,1,1,3,1,3,2
2,1,1,3,2,3,2,3,1,2,3,2,3,1,3,1,3,3,2,2,1,3,2,1,2,1,4,2,1,2,1,1,3,2,4,2,1,2,1,2,1,1,3,1,1,3,2,1,2,2
2,2,2,3,1,3,4,1,1,3,3,1,3,2,3,2,2,3,1,2,2,1,2,1,1,2,3,2,1,1,1,1,3,2,3,1,2,1,1,2,2,2,1,1,1,3,2,1,4,1
1,2,2,1,2,3,1,2,2,2,2,1,2,2,3,1,3,4,1,2,3,2,2,1,2,2,4,2,2,1,3,2,3,2,1,1,1,1,2,3,1,2,3,2,2,1,2,2,3,3
2,3,2,2,1,3,2,1,1,2,2,1,3,1,3,2,2,3,2,1,1,1,2,1,1,1,1,2,1,1,3,2,3,1,4,2,1,1,1,2,2,2,1,2,3,1,1,2,4,3
2,1,1,3,1,3,1,2,4,1,3,1,3,1,3,1,1,2,2,4,1,2,1,1,1,2,3,2,1,1,2,1,3,1,3,1,2,2,1,1,2,2,1,1,3,2,3,2,2,3
2,3,2,2,1,3,2,2,2,2,1,1,4,1,3,1,3,4,1,1,2,1,1,1,2,2,4,1,2,2,1,2,3,2,2,2,2,3,2,1,1,1,1,3,1,1,4,1,1,2
1,3,2,1,1,1,2,2,1,3,3,2,3,2,2,2,1,1,1,3,3,1,1,2,1,2,1,2,2,2,3,2,1,1,4,1,2,3,1,2,1,1,2,3,2,3,1,1,2,3
1,2,1,2,1,3,4,2,1,3,3,1,2,1,3,2,1,2,2,4,1,2,2,2,2,2,4,2,1,1,4,1,1,1,3,2,2,1,2,2,1,2,3,1,1,1,1,1,3,2
1,3,3,2,1,1,2,3,2,1,3,1,1,2,2,1,3,1,1,3,1,3,2,2,1,2,4,2,2,1,4,1,1,1,4,1,2,3,2,2,2,1,1,1,2,2,3,1,2,1
2,2,3,2,2,3,2,1,4,2,3,1,4,2,3,1,3,4,1,2,1,2,1,1,1,2,4,2,2,1,4,2,3,2,4,1,1,3,2,3,2,2,2,3,2,1,4,2,4,2
2,2,1,3,1,3,1,2,3,2,1,1,3,2,3,1,3,4,2,3,3,3,2,1,2,2,2,1,1,1,1,2,3,1,3,1,2,1,2,1,1,2,2,3,2,4,4,2,2,2
1,2,1,1,1,3,2,3,2,2,2,1,1,1,3,1,3,4,1,2,3,2,1,2,1,2,3,1,1,1,1,2,1,2,4,1,2,2,2,2,2,2,2,1,3,3,1,1,2,2
2,3,1,2,1,3,2,1,2,3,2,2,4,2,3,1,2,1,2,3,1,3,2,1,1,1,1,2,2,1,2,2,3,2,2,1,2,2,1,2,1,1,3,1,3,1,4,1,4,3
2,3,1,2,2,1,2,2,2,1,2,1,1,1,3,2,1,3,2,4,3,1,2,1,1,2,4,1,1,1,3,1,3,2,2,1,1,2,2,1,2,2,1,3,1,2,3,1,2,1
2,2,1,2,1,3,1,3,3,3,2,2,1,1,3,1,2,2,1,4,1,1,1,1,1,2,1,1,2,1,3,1,3,2,2,1,1,2,2,1,1,2,3,3,1,2,2,1,2,2
1,2,2,1,1,3,4,3,2,1,1,2,1,2,2,1,3,3,1,4,3,2,2,2,2,2,1,1,1,1,3,1,2,1,1,1,2,1,2,2,1,2,3,1,3,2,3,1,4,3
1,1,1,3,2,1,1,3,4,3,2,1,4,1,2,2,1,4,1,3,1,2,1,2,2,2,4,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,3,3,4,3,2,3,3
1,2,2,1,2,1,2,2,4,1,3,1,2,1,1,1,3,4,2,4,3,2,2,2,2,2,3,2,1,1,4,2,1,1,3,1,1,1,1,3,3,2,2,2,1,2,3,1,2,1
2,1,3,3,2,3,2,3,3,3,3,1,2,1,3,1,2,2,1,3,1,3,1,1,1,2,4,1,1,1,4,2,3,1,4,2,2,3,2,1,1,2,3,2,1,4,3,1,2,2
1,1,3,3,2,3,2,1,3,3,2,1,1,1,3,1,3,3,2,3,2,1,2,2,1,2,4,2,1,1,3,2,1,1,4,1,1,1,1,2,2,1,1,3,1,4,2,1,2,1
2,3,2,3,1,3,2,3,3,3,3,2,2,1,3,1,2,1,1,4,2,1,1,1,1,2,1,1,1,2,2,2,3,2,4,1,2,3,1,2,1,1,2,2,2,1,2,1,4,3
2,3,1,2,2,1,2,1,1,2,1,2,3,1,2,2,3,2,1,3,2,2,1,1,1,2,4,1,2,2,2,1,3,1,4,2,2,3,2,3,2,1,3,1,1,3,2,2,4,2
1,3,3,1,1,2,2,2,4,1,2,1,4,1,3,2,3,4,2,4,2,3,1,2,2,2,1,2,2,2,1,2,1,2,4,1,2,1,1,3,1,2,2,1,2,4,1,1,4,1
1,2,3,2,2,3,3,3,3,2,3,1,3,2,3,1,2,4,2,3,3,2,2,1,1,2,4,1,1,1,1,2,3,2,3,2,1,1,2,1,1,2,1,2,1,1,3,2,1,1
1,2,2,3,2,3,1,1,3,3,2,1,1,1,3,2,1,1,1,1,1,2,1,2,2,2,3,1,2,2,1,2,1,2,1,2,1,3,1,3,1,1,2,1,3,4,3,1,3,3
1,3,1,1,1,1,4,1,3,3,2,2,1,1,2,2,1,4,1,4,3,1,2,2,2,2,1,2,2,2,3,1,1,2,1,1,1,1,1,1,1,2,3,1,2,3,4,2,4,3
1,2,1,2,1,3,4,1,4,3,2,1,1,2,3,1,3,2,1,4,2,3,1,1,2,1,1,2,1,2,4,1,3,2,3,1,1,2,2,3,1,2,3,2,3,1,1,1,1,2
1,1,1,1,1,1,3,3,4,2,1,2,4,2,2,2,1,2,1,3,3,2,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,3,2,3,1,3,1,4,1
2,1,2,3,2,3,2,1,3,3,2,1,1,2,3,1,3,4,2,1,2,2,2,1,1,2,4,2,1,2,4,2,3,1,4,2,1,2,2,1,1,2,2,2,2,3,4,2,3,2
2,1,3,3,1,3,2,1,2,2,1,2,1,2,3,2,2,2,1,4,1,2,2,2,1,1,4,2,1,2,3,1,1,2,3,2,2,2,2,1,1,1,1,2,3,2,3,1,4,3
2,3,1,3,2,3,2,1,4,1,1,1,1,2,3,1,3,1,1,2,3,3,2,1,1,2,4,2,1,2,2,1,3,2,2,2,1,3,2,1,2,2,2,3,1,2,1,1,4,2
2,2,1,3,2,2,3,3,4,1,3,2,3,2,3,1,2,2,1,1,2,1,1,2,1,2,4,1,1,1,3,2,1,2,2,2,1,3,2,1,2,1,3,3,3,4,3,2,4,2
1,3,3,3,1,3,1,2,2,1,3,2,1,1,3,2,3,4,1,4,2,2,1,2,2,1,3,2,1,2,4,1,2,2,3,1,2,2,1,1,1,1,3,1,1,3,1,2,4,1
1,2,2,3,1,3,1,1,4,1,2,1,1,1,3,1,2,4,2,2,3,1,2,1,1,2,3,1,1,2,2,2,3,1,3,2,1,1,1,1,2,2,1,2,3,2,4,1,4,3
2,2,3,3,1,3,1,1,2,2,3,2,4,1,3,2,3,4,2,2,1,3,2,1,1,2,4,1,1,2,2,2,3,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,4,2
1,2,1,2,2,3,3,2,1,3,2,1,3,1,3,1,3,1,2,4,2,2,1,2,1,2,4,2,1,2,3,1,1,1,3,2,1,3,1,2,2,2,3,2,3,1,1,2,3,2
2,3,2,2,1,1,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1,3,2,1,2,2,4,2,1,1,1,2,3,1,4,2,2,2,2,2,1,2,1,3,3,2,4,1,3,1
2,2,3,3,1,1,4,3,2,3,2,1,4,1,2,2,3,2,1,4,1,1,1,1,1,2,4,2,1,1,3,2,3,2,1,2,1,1,1,2,2,2,2,2,3,2,4,2,3,3
1,1,1,2,1,1,3,1,3,2,3,2,1,1,2,2,1,4,2,3,3,3,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,3,4,1,4,3
2,2,2,2,2,3,4,1,2,1,1,1,2,2,3,1,3,4,2,2,2,1,2,1,1,2,4,2,2,1,2,2,3,1,3,1,1,2,1,3,2,1,2,3,1,1,4,2,2,1
1,3,3,2,2,1,1,2,3,1,3,2,4,1,3,2,3,2,1,2,3,2,1,1,2,1,4,1,2,1,3,1,1,1,2,2,2,1,1,1,1,1,2,1,3,3,4,2,3,2
2,2,2,1,2,2,2,3,1,3,3,1,3,1,3,2,3,1,2,4,2,3,2,1,1,2,3,1,1,1,1,2,3,1,4,2,2,2,1,3,2,1,2,2,3,2,4,1,1,2
2,2,2,3,1,3,2,3,3,2,3,2,2,1,3,1,3,4,2,2,1,2,2,1,1,2,4,2,1,2,1,1,3,1,4,1,1,3,2,1,1,2,3,3,2,2,4,2,2,1
2,1,1,1,1,3,3,3,2,1,1,1,3,2,3,1,3,2,2,4,2,3,1,1,2,2,1,1,1,2,3,1,3,2,2,2,1,1,1,1,2,1,3,1,3,4,4,1,2,2
2,1,2,3,1,3,2,1,1,2,2,2,3,1,3,2,1,3,1,4,2,2,2,2,1,2,1,1,1,2,3,1,1,1,4,1,1,1,1,3,2,2,2,3,1,4,4,1,2,2
2,1,2,1,1,1,3,1,4,3,3,2,2,1,2,2,2,2,2,3,1,3,2,1,1,2,4,1,2,1,4,2,3,2,3,1,1,2,2,3,1,2,1,3,2,4,4,2,3,3
1,2,3,2,1,3,2,1,2,2,1,2,1,2,3,2,3,4,2,1,3,1,2,2,2,2,1,1,2,1,1,2,1,2,3,1,1,1,2,2,1,2,1,1,1,4,2,2,2,2
1,2,1,3,2,1,2,3,1,3,3,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,4,2,2,1,4,2,3,1,2,1,2,1,1,3,1,1,3,3,1,1,2,1,3,2
1,2,3,3,1,3,1,2,2,3,3,1,4,2,2,1,2,4,2,1,2,1,1,1,1,2,4,1,2,2,3,1,3,1,3,1,2,1,2,1,1,2,2,2,2,2,2,1,3,1
2,3,3,2,1,3,4,1,4,2,2,1,3,2,3,1,2,4,2,2,1,1,2,1,2,2,1,1,2,2,2,1,3,1,3,2,1,1,2,1,1,2,3,3,2,1,2,1,2,1
2,2,1,1,1,1,3,3,4,1,1,1,3,2,2,1,2,3,1,4,3,2,2,1,1,1,3,1,2,1,1,2,3,1,1,2,2,1,1,1,2,1,2,1,3,1,1,2,3,3
1,2,3,3,1,3,3,1,3,3,2,1,2,1,3,2,2,2,1,3,1,3,2,2,2,2,1,1,1,2,4,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,3,1,2,2
2,3,1,2,2,1,2,2,3,3,2,1,4,2,2,2,1,4,2,4,1,1,2,1,1,1,4,1,2,1,4,2,3,1,4,2,1,1,1,3,2,2,3,1,2,4,2,1,3,2
1,2,1,3,1,3,2,2,2,1,1,1,2,1,3,2,1,4,1,2,1,3,1,1,1,2,1,1,2,2,1,1,3,1,2,1,2,1,2,1,2,2,1,3,1,4,3,1,4,2
2,2,1,3,2,3,2,1,2,2,1,1,1,2,3,2,1,1,2,3,1,3,1,2,1,2,4,1,1,1,2,2,1,2,4,1,2,1,2,1,1,2,3,1,2,3,4,2,1,1
2,1,1,3,1,2,2,3,2,2,2,1,2,1,2,2,1,1,1,2,3,1,2,1,1,2,1,2,1,2,3,1,3,2,4,1,1,2,1,1,2,2,2,1,1,3,3,2,4,2
2,2,3,1,2,2,3,3,3,1,2,1,1,2,3,1,2,1,2,4,3,1,2,1,1,2,3,1,1,2,1,2,3,1,2,2,1,3,2,1,1,2,3,2,2,2,2,2,2,2
2,1,1,3,2,3,4,2,4,1,3,1,4,1,3,2,1,2,1,1,1,1,1,2,2,1,4,1,1,2,1,1,1,1,3,2,2,2,2,3,1,2,1,2,1,4,4,1,4,3
2,1,3,3,1,2,4,1,1,1,2,1,4,2,1,2,1,2,1,3,1,3,2,1,2,2,1,1,1,1,2,1,3,2,3,1,2,2,2,3,1,1,2,1,1,4,2,1,4,1
1,2,3,1,2,3,2,1,1,1,1,1,2,2,3,2,1,2,1,2,2,3,1,2,2,2,4,1,1,2,2,2,1,1,3,1,2,2,1,2,1,1,1,2,1,2,2,2,4,1
1,3,1,2,2,3,2,2,3,3,2,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,4,2,1,1,4,1,1,2,2,1,2,2,2,1,1,2,3,1,2,3,1,1,2,2
2,1,2,2,2,3,3,2,3,3,3,2,3,1,3,2,1,1,1,2,3,3,2,2,2,2,3,1,1,1,1,1,1,2,4,1,2,1,1,3,1,1,1,3,2,4,2,1,3,2
2,2,3,1,2,3,2,3,1,2,3,1,3,1,3,2,3,3,2,1,3,3,1,1,1,1,3,2,2,2,1,2,3,2,3,2,2,2,1,3,2,2,3,1,1,1,2,2,4,1
2,2,3,3,1,3,3,3,3,3,3,1,4,1,3,1,2,1,2,2,1,2,1,1,1,2,3,2,1,1,2,2,3,2,3,2,1,2,1,2,1,1,2,2,3,4,3,2,2,2
1,3,3,2,1,1,1,3,3,3,2,1,4,1,2,2,2,4,2,1,3,2,1,2,2,2,2,2,2,2,4,2,1,1,4,1,2,1,2,3,1,2,2,2,1,1,1,2,3,1
2,2,2,3,1,3,2,1,1,1,3,1,3,1,3,1,3,2,2,1,3,2,1,1,1,2,1,1,1,2,2,2,2,2,4,1,2,2,1,2,2,2,1,1,3,3,1,2,3,1
2,3,1,2,1,3,4,1,2,1,2,2,1,1,3,2,1,2,2,3,1,3,2,1,2,2,1,1,2,2,3,2,3,2,1,2,1,3,2,3,1,2,3,3,3,3,1,2,4,3
2,2,3,2,2,3,1,1,4,1,2,1,1,1,3,1,2,4,2,4,1,1,1,2,1,2,4,1,1,1,4,1,1,1,2,2,2,3,1,1,2,1,1,1,3,2,1,1,4,2
2,1,1,1,1,3,3,2,2,2,1,1,1,2,3,2,1,2,2,1,1,2,2,2,1,2,3,1,1,2,2,1,1,1,3,2,1,2,1,3,2,2,3,1,2,1,1,1,4,3
2,2,1,1,1,1,2,2,3,3,3,1,1,2,2,2,3,4,2,2,3,3,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,3,3,2,2,3,1,1,3
2,2,2,1,1,1,1,2,1,3,3,1,3,2,2,2,2,1,1,3,3,1,1,2,1,2,4,1,1,2,4,2,1,1,2,2,1,1,1,2,1,1,3,2,1,2,1,2,2,2
2,2,2,3,2,1,1,3,2,2,3,1,1,2,3,1,3,1,1,1,2,3,1,1,1,2,4,2,2,2,2,2,3,2,2,1,1,1,1,1,2,1,2,2,3,1,2,1,4,3
2,3,3,3,1,3,2,1,3,2,2,1,3,2,3,2,3,1,2,2,3,2,2,1,2,1,4,1,1,1,3,2,3,2,1,2,2,2,2,3,3,1,1,1,3,4,1,2,4,1
2,2,1,1,2,3,1,2,4,2,2,2,1,1,2,2,3,2,2,3,3,3,1,1,1,2,4,2,1,2,2,1,3,1,3,1,2,2,2,2,1,2,2,2,1,3,4,1,4,1
1,3,1,2,2,3,2,3,4,2,2,1,3,2,3,1,2,1,2,4,3,1,2,1,1,2,4,1,2,2,1,1,1,2,4,1,1,3,1,3,3,1,1,2,3,3,3,2,2,1
2,2,1,1,1,1,2,1,3,1,3,1,1,1,2,1,3,1,2,1,3,2,2,1,1,2,4,1,1,1,4,1,3,2,4,2,2,1,1,3,2,1,2,1,3,2,1,2,3,1
2,3,2,2,1,3,1,3,3,2,3,1,3,1,3,2,3,3,1,2,2,3,2,2,2,2,3,1,1,2,2,1,1,2,3,2,2,1,2,1,1,2,2,3,2,4,2,1,2,1
1,2,1,1,2,3,1,3,1,1,2,1,2,1,3,2,3,4,1,3,1,2,2,1,2,2,4,1,2,1,2,2,3,1,3,2,2,2,1,2,1,1,2,1,2,1,3,2,3,1
1,3,3,3,1,3,4,1,3,3,3,1,1,1,3,1,3,2,2,3,2,2,1,2,1,1,4,1,1,1,1,2,2,1,3,1,1,1,1,3,3,2,1,1,3,1,4,2,3,3
1,3,2,2,2,2,1,1,1,1,3,1,1,2,2,2,1,3,1,3,1,3,1,1,1,2,4,1,1,1,4,2,3,1,3,1,1,2,2,3,2,1,2,3,3,2,3,1,3,3
1,2,1,1,1,3,2,1,3,3,3,1,4,2,3,2,1,1,2,4,2,3,2,2,1,2,3,1,2,1,3,1,1,2,2,1,1,2,2,1,2,1,3,1,2,1,3,1,4,1
1,2,3,1,2,1,1,1,3,1,1,1,4,1,2,1,3,3,2,3,2,2,1,2,2,2,1,2,1,2,3,2,1,2,4,2,1,2,1,1,1,2,2,1,1,1,4,1,2,1
1,1,1,1,2,3,2,3,4,2,3,1,1,2,3,1,3,4,1,3,1,1,1,1,2,1,4,2,1,2,2,1,3,2,3,1,2,1,2,3,1,2,2,3,3,1,3,2,1,3
1,2,1,1,1,1,2,3,1,3,3,1,3,2,2,2,1,4,1,2,3,2,2,2,1,2,4,2,1,1,4,1,1,1,3,2,1,3,2,2,1,2,3,3,1,3,3,1,2,1
1,2,2,1,1,2,2,1,2,2,3,1,1,1,3,1,3,1,1,2,3,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,3,1,1,1,1,2,1,1,2,4,2
1,2,2,3,2,1,2,3,2,1,3,1,2,2,2,2,1,4,1,2,3,2,2,2,1,2,3,1,2,2,1,2,2,2,2,1,2,3,2,1,2,2,2,3,3,4,4,2,1,2
1,3,1,2,1,3,1,1,4,3,2,1,1,2,3,2,1,2,2,1,3,3,2,1,1,2,3,1,1,1,4,2,2,2,2,1,2,2,2,1,4,2,1,2,2,2,4,1,2,3
2,2,2,1,2,3,2,1,4,3,2,1,4,2,3,1,2,4,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,4,2,1,2,1,1,2,1,1,1,3,1,3,1,4,2
2,3,2,3,1,2,2,3,4,1,1,2,2,1,3,2,1,3,2,1,2,2,2,1,2,2,4,1,1,2,1,2,3,1,4,2,1,2,2,3,1,1,2,3,1,4,2,2,1,2
1,2,3,3,1,3,2,3,2,3,3,2,1,2,3,2,1,1,1,3,2,2,2,2,1,2,2,1,1,1,2,2,1,2,4,1,2,2,1,2,1,1,2,2,3,2,3,2,3,2
2,1,1,1,1,3,2,1,3,3,1,1,4,2,3,2,1,3,2,3,3,1,2,2,1,1,4,2,1,1,1,2,1,2,4,1,1,1,1,1,2,2,1,1,2,3,3,2,4,2
1,1,2,1,1,3,2,2,3,2,2,2,3,1,3,2,1,4,2,4,2,2,1,2,2,2,1,2,1,1,1,2,1,1,4,2,2,3,2,2,1,2,2,1,1,4,4,2,3,3
1,3,1,2,2,3,3,2,3,1,2,1,4,1,3,1,3,1,2,2,2,2,1,2,1,2,4,1,1,1,1,1,1,1,3,2,2,3,2,3,1,2,3,3,2,2,2,2,3,1
2,2,2,1,2,3,2,3,3,2,3,2,3,1,3,2,1,4,1,2,2,3,1,1,2,2,4,2,1,1,1,2,3,2,4,1,1,3,2,2,1,2,2,3,1,4,2,2,3,1
1,3,3,3,2,3,2,3,3,1,2,1,1,1,3,2,1,1,1,3,2,1,2,2,1,1,4,1,1,2,3,2,1,1,4,2,2,3,2,2,2,1,2,1,2,1,4,2,1,1
2,1,1,2,2,3,4,3,2,3,1,1,3,2,2,1,3,2,2,3,2,1,2,1,2,2,1,1,1,1,1,1,1,2,3,2,2,2,1,1,2,2,2,2,3,3,2,1,4,1
2,2,2,2,2,1,2,2,3,1,2,1,4,1,3,1,3,4,2,4,2,2,1,1,1,1,4,1,2,2,3,2,3,1,2,1,2,1,1,1,2,2,1,2,1,3,2,2,3,2
1,2,2,3,2,3,3,2,3,2,2,1,2,1,3,2,1,4,1,2,1,2,2,1,2,2,4,2,1,1,2,2,1,1,4,1,1,3,1,2,1,1,3,2,2,1,4,2,2,3
2,2,3,3,1,3,1,3,4,1,1,1,2,2,3,2,1,1,1,4,2,1,2,1,1,1,4,2,2,2,2,1,3,2,2,2,1,2,1,1,1,1,2,2,3,3,2,2,2,2
2,2,3,2,2,3,4,2,1,3,3,2,3,2,3,1,3,1,2,2,1,2,1,1,1,2,4,2,1,2,2,2,3,1,3,2,1,1,1,2,1,1,2,3,3,2,2,2,4,1
1,2,3,3,1,3,2,1,4,2,2,2,1,1,3,1,3,4,2,2,1,2,2,2,1,1,4,2,1,1,1,1,1,2,3,1,1,2,2,3,1,2,1,1,1,4,2,1,4,3
2,2,1,2,2,1,4,2,1,3,1,1,3,1,3,1,3,4,2,4,1,1,2,1,2,2,3,1,1,1,1,2,3,1,1,2,2,1,2,3,1,2,3,3,1,1,2,2,2,1
1,1,3,2,2,3,3,2,2,2,3,1,2,2,3,2,1,1,2,4,3,2,1,2,2,2,4,1,1,2,1,2,1,2,2,1,2,2,1,3,1,1,3,3,2,3,3,2,3,2
1,3,2,1,1,1,1,3,1,2,1,2,1,1,2,1,3,1,1,4,2,2,2,1,2,1,4,1,2,1,4,2,3,1,1,1,2,1,1,3,1,1,3,1,3,1,4,1,3,3
1,2,3,2,2,3,1,1,2,3,3,2,2,2,3,1,3,1,2,3,2,3,2,2,1,2,4,2,1,1,1,1,2,2,3,2,2,1,1,1,1,1,3,1,2,3,3,2,4,3
2,1,3,3,1,3,1,2,2,2,2,2,1,2,3,1,3,4,1,2,3,2,2,1,1,2,1,2,2,2,1,2,3,1,3,1,2,1,1,3,1,2,3,1,2,4,1,2,2,1
1,2,2,1,2,1,2,1,1,3,3,2,4,1,2,2,2,4,1,2,3,1,2,2,1,2,4,2,2,2,1,1,1,1,2,1,2,1,2,3,1,2,2,3,2,1,1,2,1,3
2,1,1,2,2,1,2,2,2,1,3,1,1,2,2,1,3,1,1,1,1,3,1,1,2,1,4,1,1,1,2,1,3,2,4,1,2,1,1,2,1,1,2,1,3,4,2,2,1,2
2,2,1,3,1,1,2,3,1,2,3,1,1,1,2,2,1,1,1,3,3,3,2,1,1,1,1,2,2,1,1,1,3,1,4,2,2,3,2,2,2,1,3,1,3,4,1,2,2,2
